Happiness_Score,GDP_per_capita,Support,Healthy_Life,Freedom,Generosity,Corruption_perception,Year
7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,2020
7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,2020
7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,2020
7.504499912,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,2020
7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,2020
7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,2020
7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,2020
7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,2020
7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,2020
7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,2020
7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,2020
7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,2020
7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,2020
7.128600121,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,2020
7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,2020
7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,2020
7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,2020
6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,2020
6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,2020
6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,2020
6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,2020
6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,2020
6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,2020
6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,2020
6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293,2020
6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,2020
6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,2020
6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,2020
6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,2020
6.38740015,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,2020
6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,2020
6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,2020
6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,2020
6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,2020
6.325200081,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293,2020
6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,2020
6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,2020
6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,2020
6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,2020
6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,2020
6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,2020
6.191899776,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611,2020
6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,2020
6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,2020
6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,2020
6.13710022,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,2020
6.123700142,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,2020
6.102099895,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,2020
6.101299763,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,2020
6.057899952,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,2020
6.021800041,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,2020
6.006000042,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,2020
6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,2020
5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,2020
5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,2020
5.953199863,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,2020
5.949999809,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,2020
5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,2020
5.910900116,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,2020
5.889800072,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,2020
5.872399807,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447,2020
5.870800018,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,2020
5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,2020
5.77820015,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,2020
5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,2020
5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,2020
5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,2020
5.689199924,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,2020
5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,2020
5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,2020
5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063,2020
5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586,2020
5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,2020
5.541500092,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084,2020
5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,2020
5.53550005,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,0.62611568,2020
5.514999866,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,2020
5.510399818,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209,2020
5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,2020
5.488800049,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,2020
5.456200123,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,2020
5.384300232,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,2020
5.353499889,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,2020
5.285600185,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401,2020
5.233300209,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961,2020
